Name,Yes,No,Description,Word Count,Column
"My Way ",Yes,No,Basis of the Syllabus,,"November 23, 2021 6:05 AM"
What I shine speaking about,No,Yes,(Good points to develop),150,"September 26, 2021 4:13 AM"
"My Quantum Offering  ",No,Yes,,548,"September 27, 2021 3:42 AM"
"My offering to energy workers ",Yes,No,,70,"September 27, 2021 7:46 AM"
Offering,No,Yes,,223,"September 28, 2021 4:02 AM"
Web partials,No,Yes,,,"September 29, 2021 1:25 AM"
"Quantum ",Yes,No,,201,"September 29, 2021 9:31 AM"
Short says,Yes,No,,1265,"October 21, 2021 4:03 AM"
What I do For people,Yes,No,(Good points to develop),122,"October 21, 2021 2:52 PM"
Nina convo,No,No,,,"October 21, 2021 4:10 PM"
An Exchange of Presence,No,Yes,QUANTUM REBIRTH,1878,"October 31, 2021 10:01 AM"
Pricing & Payment Options,No,No,pricing & payment options,,"November 1, 2021 12:05 PM"
Potential Clients,No,No,for Ally,,"November 1, 2021 12:39 PM"
Lloyd,No,No,,,"November 1, 2021 12:48 PM"
My Offer to You,Yes,No,my new offering message,2636,"November 1, 2021 1:56 PM"
Sharin Website,No,Yes,,,"November 10, 2021 11:42 PM"
Practitioner Training,No,Yes,min info to embody transformation practice (QR),1269,"November 13, 2021 7:43 AM"
Relationships Shadow Work Program,No,Yes,QUANTUM REBIRTH,1243,"November 15, 2021 7:12 AM"
The 6 blocks to flow,Yes,No,(Good points to develop),223,"November 15, 2021 7:52 AM"
Nora's strategy,No,No,,,"November 15, 2021 2:47 PM"
DAO conversation with Jesus,No,No,,,"November 17, 2021 3:46 PM"
My Gift,No,No,,,"November 20, 2021 6:30 AM"
Coralie,No,No,,,"November 22, 2021 6:12 AM"
Self Liberation Training,No,No,,,"December 1, 2021 2:06 AM"
Exploration with Jee Ka,No,No,,,"December 1, 2021 5:11 AM"
Blue Vany Chat,No,No,,,"December 26, 2021 1:50 PM"