Day,Status,Title,Category,Estimated Time,Author,Author Introduction
Day 1,Done,One Big Web: A Few Ways the World Works,🤹 Become a versatile generalist,8 min,Morgan Housel,"Financial writer author of ""The Psychology of Money"""
Day 2,Done,"The Blind Men, the Elephant, and the 3 Data Mistakes",📈 Gain business insights,6 min,Julie Zhuo,"Former Product Design VP at Facebook & author of ""The Making of a Manager"""
Day 3,Done,The Mind is a Computer,🔧 Increase productivity,7 min,Scott Young,Learning expert mastering efficient learning technique
Day 4,Done,How Innovative Ideas Arise,🖌️ Boost creativity,5 min,James Clear,"Expert on habits author of ""Atomic Habits"" personal growth"
Day 5,Done,Distinguishing constructive criticism from bad business advice,🧠 Improve Self-awareness,8 min,Jason Cohen,Founder of WP Engine and a renowned entrepreneur in the tech space
Day 6,Done,Notes on Complexity: A Buddhist Scientist on the Murmuration of Being,🤹 Become a versatile generalist,8 min,Maria Popova,Creator of Brain Pickings a blog exploring creativity and literature
Day 7,Done,Entropy: Why Life Always Seems to Get More Complicated,🤹 Become a versatile generalist,4 min,James Clear,"Expert on habits author of ""Atomic Habits"" personal growth"
Day 8,Done,"Our World Shaken, Not Stirred: Synthetic entertainment, hybrid social experiences, syncing ourselves with apps, and more.",🤖️ Understand tech trend,6 min,Benedict Evans,Tech industry analyst and venture capitalist
Day 9,In progress,How Description Leads to Understanding,🧠 Improve Self-awareness,6 min,Farnam Street,Knowledge blog for enhancing decision-making & understanding complex systems
Day 10,Not started,There’s no such thing as data,🤖️ Understand tech trend,8 min,Benedict Evans,Tech industry analyst and venture capitalist
Day 11,Not started,What AI Won’t Change,🗣  Win at work,8 min,Julie Zhuo,"Former Product Design VP at Facebook & author of ""The Making of a Manager"""
Day 12,Not started,Pricing determines your business model,📈 Gain business insights,8 min,Jason Cohen,Founder of WP Engine and a renowned entrepreneur in the tech space
Day 13,Not started,Fear of What Others Think,🧠 Improve Self-awareness,8 min,Julie Zhuo,"Former Product Design VP at Facebook & author of ""The Making of a Manager"""
Day 14,Not started,Earnestness,📈 Gain business insights,7 min,Pual Graham,Entrepreneur and writer co-founder of Y Combinator
Day 15,Not started,The Underrated Usefulness of Taking a Time Log,🔧 Increase productivity,3 min,Scott Young,Learning expert mastering efficient learning technique
Day 16,Not started,When you want to quit because it's just not worth it,🧠 Improve Self-awareness,8 min,Jason Cohen,Founder of WP Engine and a renowned entrepreneur in the tech space
Day 17,Not started,Love the problem,📈 Gain business insights,7 min,Julie Zhuo,"Former Product Design VP at Facebook & author of ""The Making of a Manager"""
Day 18,Not started,How repositioning a product allows you to 8x its price,💰 Create wealth,3 min,Jason Cohen,Founder of WP Engine and a renowned entrepreneur in the tech space
Day 19,Not started,"You can have two Big Things, but not three",🧠 Improve Self-awareness,3 min,Jason Cohen,Founder of WP Engine and a renowned entrepreneur in the tech space
Day 20,Not started,The eternal Google search for truth,🧠 Improve Self-awareness,5 min,Tim Harford,Leadership coach empowering individuals and teams
Day 21,Not started,Metabrand,📈 Gain business insights,3 min,Benedict Evans,Tech industry analyst and venture capitalist